,hands,7-4-3-2,8-4-3-2,9-4-3-2,T-4-3-2,J-4-3-2
0,7-5-4-3-2,100.0,100.0,100.0,100.0,100.0
1,7-6-4-3-2,91.44,100.0,100.0,100.0,100.0
2,7-6-5-3-2,85.92,100.0,100.0,100.0,100.0
3,7-6-5-4-2,86.32,100.0,100.0,100.0,100.0
4,8-5-4-3-2,83.32,100.0,100.0,100.0,100.0
5,8-6-4-3-2,84.0,91.32,100.0,100.0,100.0
6,8-6-5-3-2,86.68,85.56,100.0,100.0,100.0
7,8-6-5-4-2,85.96,85.0,100.0,100.0,100.0
8,8-6-5-4-3,85.0,86.28,100.0,100.0,100.0
9,8-7-4-3-2,80.28,82.12,100.0,100.0,100.0
10,8-7-5-3-2,76.36,77.08,100.0,100.0,100.0
11,8-7-5-4-2,77.08,75.08,100.0,100.0,100.0
12,8-7-5-4-3,76.6,76.16,100.0,100.0,100.0
13,8-7-6-3-2,75.8,77.68,100.0,100.0,100.0
14,8-7-6-4-2,76.36,76.8,100.0,100.0,100.0
15,8-7-6-4-3,78.08,76.16,100.0,100.0,100.0
16,8-7-6-5-2,79.08,78.8,100.0,100.0,100.0
17,8-7-6-5-3,80.4,80.36,100.0,100.0,100.0
18,9-5-4-3-2,73.6,74.88,100.0,100.0,100.0
19,9-6-4-3-2,74.84,73.28,90.12,100.0,100.0
20,9-6-5-3-2,77.88,75.2,85.96,100.0,100.0
21,9-6-5-4-2,77.64,77.32,86.56,100.0,100.0
22,9-6-5-4-3,76.96,76.44,87.16,100.0,100.0
23,9-7-4-3-2,74.2,73.72,81.08,100.0,100.0
24,9-7-5-3-2,68.28,77.64,76.88,100.0,100.0
25,9-7-5-4-2,66.56,77.76,76.04,100.0,100.0
26,9-7-5-4-3,68.84,76.24,76.76,100.0,100.0
27,9-7-6-3-2,67.32,77.56,76.36,100.0,100.0
28,9-7-6-4-2,68.96,76.16,77.52,100.0,100.0
29,9-7-6-4-3,67.48,76.32,75.76,100.0,100.0
30,9-7-6-5-2,70.8,80.04,78.44,100.0,100.0
31,9-7-6-5-3,69.56,78.72,79.36,100.0,100.0
